========
Segment 0, number of frames = 41853, viterbi-score = 212271.426068
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,P1(0)=6,P2(0)=14,Z(0)=0
Ptn-1 C: G(1)=1,P1(1)=6,P2(1)=14,Z(1)=0
Ptn-2 C: G(2)=1,P1(2)=6,P2(2)=14,Z(2)=1
Ptn-3 C: G(3)=2,P1(3)=6,P2(3)=14,Z(3)=1
Ptn-4 C: G(4)=2,P1(4)=6,P2(4)=14,Z(4)=1
Ptn-5 C: G(5)=2,P1(5)=6,P2(5)=14,Z(5)=1
Ptn-6 C: G(6)=2,P1(6)=6,P2(6)=14,Z(6)=1
Ptn-7 C: G(7)=2,P1(7)=6,P2(7)=14,Z(7)=1
Ptn-8 C: G(8)=2,P1(8)=6,P2(8)=14,Z(8)=1
Ptn-9 C: G(9)=2,P1(9)=6,P2(9)=14,Z(9)=1
Ptn-10 C: G(10)=2,P1(10)=6,P2(10)=14,Z(10)=1
Ptn-11 C: G(11)=2,P1(11)=6,P2(11)=14,Z(11)=1
Ptn-12 C: G(12)=2,P1(12)=6,P2(12)=14,Z(12)=1
Ptn-13 C: G(13)=2,P1(13)=6,P2(13)=14,Z(13)=1
Ptn-14 C: G(14)=2,P1(14)=6,P2(14)=14,Z(14)=1
Ptn-15 C: G(15)=2,P1(15)=6,P2(15)=14,Z(15)=1
Ptn-16 C: G(16)=2,P1(16)=6,P2(16)=14,Z(16)=1
Ptn-17 C: G(17)=2,P1(17)=6,P2(17)=14,Z(17)=1
Ptn-18 C: G(18)=2,P1(18)=6,P2(18)=14,Z(18)=1
Ptn-19 C: G(19)=2,P1(19)=6,P2(19)=14,Z(19)=1
Ptn-20 C: G(20)=2,P1(20)=6,P2(20)=14,Z(20)=1
Ptn-21 C: G(21)=2,P1(21)=6,P2(21)=14,Z(21)=1
Ptn-22 C: G(22)=2,P1(22)=6,P2(22)=14,Z(22)=1
Ptn-23 C: G(23)=2,P1(23)=6,P2(23)=14,Z(23)=1
Ptn-24 C: G(24)=2,P1(24)=6,P2(24)=14,Z(24)=1
Ptn-25 C: G(25)=2,P1(25)=6,P2(25)=14,Z(25)=1
Ptn-26 C: G(26)=2,P1(26)=6,P2(26)=14,Z(26)=1
Ptn-27 C: G(27)=2,P1(27)=6,P2(27)=14,Z(27)=1
Ptn-28 C: G(28)=2,P1(28)=6,P2(28)=14,Z(28)=1
Ptn-29 C: G(29)=2,P1(29)=6,P2(29)=14,Z(29)=1
Ptn-30 C: G(30)=2,P1(30)=6,P2(30)=14,Z(30)=1
Ptn-31 C: G(31)=2,P1(31)=6,P2(31)=14,Z(31)=1
Ptn-32 C: G(32)=2,P1(32)=6,P2(32)=14,Z(32)=1
Ptn-33 C: G(33)=2,P1(33)=6,P2(33)=14,Z(33)=1
Ptn-34 C: G(34)=2,P1(34)=6,P2(34)=14,Z(34)=1
Ptn-35 C: G(35)=2,P1(35)=6,P2(35)=14,Z(35)=1
Ptn-36 C: G(36)=2,P1(36)=6,P2(36)=14,Z(36)=1
Ptn-37 C: G(37)=2,P1(37)=6,P2(37)=14,Z(37)=1
Ptn-38 C: G(38)=2,P1(38)=6,P2(38)=14,Z(38)=1
Ptn-39 C: G(39)=3,P1(39)=6,P2(39)=14,Z(39)=1
Ptn-40 C: G(40)=3,P1(40)=6,P2(40)=14,Z(40)=1
Ptn-41 C: G(41)=3,P1(41)=6,P2(41)=14,Z(41)=0
Ptn-42 C: G(42)=3,P1(42)=6,P2(42)=14,Z(42)=0
Ptn-43 C: G(43)=3,P1(43)=6,P2(43)=14,Z(43)=0
Ptn-44 C: G(44)=2,P1(44)=6,P2(44)=14,Z(44)=0
Ptn-45 C: G(45)=2,P1(45)=6,P2(45)=14,Z(45)=0
Ptn-46 C: G(46)=2,P1(46)=6,P2(46)=14,Z(46)=0
Ptn-47 C: G(47)=2,P1(47)=6,P2(47)=14,Z(47)=0
Ptn-48 C: G(48)=2,P1(48)=6,P2(48)=14,Z(48)=0
Ptn-49 C: G(49)=2,P1(49)=6,P2(49)=14,Z(49)=0
Ptn-50 C: G(50)=2,P1(50)=6,P2(50)=14,Z(50)=0
Ptn-51 C: G(51)=2,P1(51)=6,P2(51)=14,Z(51)=0
Ptn-52 C: G(52)=2,P1(52)=6,P2(52)=14,Z(52)=0
Ptn-53 C: G(53)=2,P1(53)=6,P2(53)=14,Z(53)=0
Ptn-54 C: G(54)=2,P1(54)=6,P2(54)=14,Z(54)=0
Ptn-55 C: G(55)=2,P1(55)=6,P2(55)=14,Z(55)=0
Ptn-56 C: G(56)=2,P1(56)=6,P2(56)=14,Z(56)=0
Ptn-57 C: G(57)=2,P1(57)=6,P2(57)=14,Z(57)=0
Ptn-58 C: G(58)=2,P1(58)=6,P2(58)=14,Z(58)=0
Ptn-59 C: G(59)=2,P1(59)=6,P2(59)=14,Z(59)=0
Ptn-60 C: G(60)=2,P1(60)=6,P2(60)=14,Z(60)=0
Ptn-61 C: G(61)=2,P1(61)=6,P2(61)=14,Z(61)=0
Ptn-62 C: G(62)=2,P1(62)=6,P2(62)=14,Z(62)=0
Ptn-63 C: G(63)=2,P1(63)=6,P2(63)=14,Z(63)=0
Ptn-64 C: G(64)=2,P1(64)=6,P2(64)=14,Z(64)=0
Ptn-65 C: G(65)=2,P1(65)=6,P2(65)=14,Z(65)=0
Ptn-66 C: G(66)=2,P1(66)=6,P2(66)=14,Z(66)=0
Ptn-67 C: G(67)=2,P1(67)=6,P2(67)=14,Z(67)=0
Ptn-68 C: G(68)=3,P1(68)=6,P2(68)=14,Z(68)=0
Ptn-69 C: G(69)=3,P1(69)=6,P2(69)=14,Z(69)=0
Ptn-70 C: G(70)=4,P1(70)=6,P2(70)=14,Z(70)=0
Ptn-71 C: G(71)=4,P1(71)=6,P2(71)=14,Z(71)=0
Ptn-72 C: G(72)=4,P1(72)=6,P2(72)=14,Z(72)=0
Ptn-73 C: G(73)=5,P1(73)=6,P2(73)=14,Z(73)=0
Ptn-74 C: G(74)=5,P1(74)=6,P2(74)=14,Z(74)=0
Ptn-75 C: G(75)=5,P1(75)=6,P2(75)=14,Z(75)=0
Ptn-76 C: G(76)=5,P1(76)=6,P2(76)=14,Z(76)=0
Ptn-77 C: G(77)=5,P1(77)=6,P2(77)=14,Z(77)=0
Ptn-78 C: G(78)=5,P1(78)=6,P2(78)=14,Z(78)=0
Ptn-79 C: G(79)=5,P1(79)=6,P2(79)=14,Z(79)=0
Ptn-80 C: G(80)=5,P1(80)=6,P2(80)=14,Z(80)=0
Ptn-81 C: G(81)=4,P1(81)=6,P2(81)=14,Z(81)=0
Ptn-82 C: G(82)=4,P1(82)=6,P2(82)=14,Z(82)=0
Ptn-83 C: G(83)=4,P1(83)=6,P2(83)=14,Z(83)=0
Ptn-84 C: G(84)=4,P1(84)=6,P2(84)=14,Z(84)=0
Ptn-85 C: G(85)=4,P1(85)=6,P2(85)=14,Z(85)=0
Ptn-86 C: G(86)=4,P1(86)=6,P2(86)=14,Z(86)=0
Ptn-87 C: G(87)=4,P1(87)=6,P2(87)=14,Z(87)=0
Ptn-88 C: G(88)=4,P1(88)=6,P2(88)=14,Z(88)=0
Ptn-89 C: G(89)=4,P1(89)=6,P2(89)=14,Z(89)=0
Ptn-90 C: G(90)=4,P1(90)=6,P2(90)=14,Z(90)=0
Ptn-91 C: G(91)=4,P1(91)=6,P2(91)=14,Z(91)=0
Ptn-92 C: G(92)=4,P1(92)=6,P2(92)=14,Z(92)=0
Ptn-93 C: G(93)=4,P1(93)=6,P2(93)=14,Z(93)=0
Ptn-94 C: G(94)=2,P1(94)=6,P2(94)=14,Z(94)=0
Ptn-95 C: G(95)=2,P1(95)=6,P2(95)=14,Z(95)=0
Ptn-96 C: G(96)=2,P1(96)=6,P2(96)=14,Z(96)=0
Ptn-97 C: G(97)=2,P1(97)=6,P2(97)=14,Z(97)=0
Ptn-98 C: G(98)=2,P1(98)=6,P2(98)=14,Z(98)=0
Ptn-99 C: G(99)=2,P1(99)=6,P2(99)=14,Z(99)=0
Ptn-100 C: G(100)=2,P1(100)=6,P2(100)=14,Z(100)=0
Ptn-101 C: G(101)=2,P1(101)=6,P2(101)=14,Z(101)=0
Ptn-102 C: G(102)=2,P1(102)=6,P2(102)=14,Z(102)=0
Ptn-103 C: G(103)=2,P1(103)=6,P2(103)=14,Z(103)=0
Ptn-104 C: G(104)=2,P1(104)=6,P2(104)=14,Z(104)=0
Ptn-105 C: G(105)=2,P1(105)=6,P2(105)=14,Z(105)=0
Ptn-106 C: G(106)=2,P1(106)=6,P2(106)=14,Z(106)=0
Ptn-107 C: G(107)=2,P1(107)=6,P2(107)=14,Z(107)=0
Ptn-108 C: G(108)=2,P1(108)=6,P2(108)=14,Z(108)=0
Ptn-109 C: G(109)=2,P1(109)=6,P2(109)=14,Z(109)=0
Ptn-110 C: G(110)=2,P1(110)=6,P2(110)=14,Z(110)=0
Ptn-111 C: G(111)=2,P1(111)=6,P2(111)=14,Z(111)=0
Ptn-112 C: G(112)=2,P1(112)=6,P2(112)=14,Z(112)=0
Ptn-113 C: G(113)=2,P1(113)=6,P2(113)=14,Z(113)=0
