========
Segment 0, number of frames = 41853, viterbi-score = 332543.856961
Printing random variables from (P,C,E)=(1,41852,0) sections
Ptn-0 P: G(0)=1,Z(0)=1
Ptn-1 C: G(1)=1,Z(1)=1
Ptn-2 C: G(2)=3,Z(2)=0
Ptn-3 C: G(3)=3,Z(3)=2
Ptn-4 C: G(4)=3,Z(4)=2
Ptn-5 C: G(5)=3,Z(5)=2
Ptn-6 C: G(6)=4,Z(6)=2
Ptn-7 C: G(7)=4,Z(7)=2
Ptn-8 C: G(8)=4,Z(8)=2
Ptn-9 C: G(9)=4,Z(9)=2
Ptn-10 C: G(10)=4,Z(10)=2
Ptn-11 C: G(11)=4,Z(11)=2
Ptn-12 C: G(12)=4,Z(12)=2
Ptn-13 C: G(13)=4,Z(13)=2
Ptn-14 C: G(14)=4,Z(14)=2
Ptn-15 C: G(15)=4,Z(15)=2
Ptn-16 C: G(16)=4,Z(16)=2
Ptn-17 C: G(17)=4,Z(17)=2
Ptn-18 C: G(18)=4,Z(18)=2
Ptn-19 C: G(19)=4,Z(19)=2
Ptn-20 C: G(20)=4,Z(20)=3
Ptn-21 C: G(21)=4,Z(21)=3
Ptn-22 C: G(22)=4,Z(22)=3
Ptn-23 C: G(23)=4,Z(23)=3
Ptn-24 C: G(24)=4,Z(24)=3
Ptn-25 C: G(25)=4,Z(25)=3
Ptn-26 C: G(26)=4,Z(26)=3
Ptn-27 C: G(27)=4,Z(27)=3
Ptn-28 C: G(28)=4,Z(28)=3
Ptn-29 C: G(29)=4,Z(29)=3
Ptn-30 C: G(30)=4,Z(30)=3
Ptn-31 C: G(31)=4,Z(31)=1
Ptn-32 C: G(32)=4,Z(32)=1
Ptn-33 C: G(33)=4,Z(33)=1
Ptn-34 C: G(34)=4,Z(34)=2
Ptn-35 C: G(35)=3,Z(35)=2
Ptn-36 C: G(36)=3,Z(36)=2
Ptn-37 C: G(37)=3,Z(37)=2
Ptn-38 C: G(38)=3,Z(38)=2
Ptn-39 C: G(39)=3,Z(39)=0
Ptn-40 C: G(40)=3,Z(40)=0
Ptn-41 C: G(41)=3,Z(41)=1
Ptn-42 C: G(42)=3,Z(42)=1
Ptn-43 C: G(43)=3,Z(43)=1
Ptn-44 C: G(44)=3,Z(44)=2
Ptn-45 C: G(45)=3,Z(45)=2
Ptn-46 C: G(46)=4,Z(46)=2
Ptn-47 C: G(47)=4,Z(47)=2
Ptn-48 C: G(48)=4,Z(48)=2
Ptn-49 C: G(49)=4,Z(49)=2
Ptn-50 C: G(50)=4,Z(50)=2
Ptn-51 C: G(51)=4,Z(51)=2
Ptn-52 C: G(52)=4,Z(52)=4
Ptn-53 C: G(53)=4,Z(53)=4
Ptn-54 C: G(54)=4,Z(54)=4
